COMID,siteID,WellWaterDepth_m,NearestFlowlineDistance_m,NearStreamPtNED30mElv_masl,BankHeight_m,WellDepth_m,Width_m,latitude,longitude,Date,WellNED30mElv_masl,bank_corrected_head_difference_m
21117141, 5193658, 43.14, 33.83, 1126.26, 0.82, 91.44, 7.79, 36.961779, -102.096228, 1977.1694, 1126.90, -41.68
13861336, 1048226, 65.26, 832.94, 1070.05, 0.77, 97.54, 6.47, 36.935732, -101.804354, 1964.1528, 1072.02, -62.52
21098223, 1048239, 44.38, 876.51, 766.64, 0.45, 73.15, 6.79, 36.979773, -100.539766, 1986.9583, 774.27, -36.30
13860492, 1048225, 89.75, 591.19, 1093.70, 0.49, 91.44, 5.69, 36.906135, -101.905372, 1968.3556, 1105.44, -77.52
21115545, 5194269, 57.64, 474.10, 1161.13, 0.74, 97.54, 6.64, 36.903953, -102.158352, 1992.7917, 1170.94, -47.09
21098305, 5194332, 5.63, 81.88, 671.33, 0.77, 42.67, 14.09, 36.975653, -100.274251, 1992.9750, 671.66, -4.53
21098343, 1048488, 13.13, 35.47, 706.22, 0.41, 49.99, 7.68, 36.970208, -100.375980, 1907.0028, 705.63, -13.31
13860594, 1048092, 83.97, 854.39, 1020.20, 0.93, 95.10, 8.31, 36.899290, -101.652143, 1967.4694, 1028.24, -75.00
13860574, 1048095, 67.06, 842.57, 1058.10, 0.51, 77.11, 5.77, 36.891468, -101.761080, 1966.2194, 1057.35, -67.30
21067750, 5194202, 6.84, 98.09, 585.13, 0.43, 30.48, 6.54, 36.976029, -99.770247, -1.0000, 586.38, -5.16
21098443, 1048486, 16.95, 116.02, 729.51, 0.58, 62.79, 8.35, 36.933248, -100.364535, 1907.0028, 732.42, -13.46
21098987, 5193696, 7.50, 354.52, 630.55, 2.44, 30.48, 35.91, 36.941141, -100.110740, 1907.0028, 640.43, 4.82
941060055, 5194763, 3.63, 292.08, 376.57, 1.69, 13.41, 57.49, 36.985626, -98.361827, 2006.5472, 380.24, 1.73
13859402, 5193657, 60.76, 718.72, 1134.73, 0.47, 96.32, 5.48, 36.852952, -102.045963, 1907.0028, 1139.41, -55.61
21000357, 5194210, 1.62, 141.03, 368.51, 1.21, 10.67, 84.39, 36.986095, -98.213572, 1963.6417, 369.70, 0.78
941040112, 1048466, 17.91, 672.17, 671.26, 0.68, 54.86, 8.53, 36.924542, -100.111581, 1979.5333, 673.03, -15.46
20988057, 5193794, 9.46, 52.02, 317.05, 1.54, 18.59, 103.13, 36.972857, -97.458192, 1907.0028, 322.97, -2.00
21000425, 5194153, 3.81, 156.67, 366.41, 1.26, 11.89, 85.09, 36.970358, -98.209452, 1966.8472, 367.66, -1.30
13860652, 5193772, 45.75, 304.81, 1079.56, 0.63, 47.55, 6.77, 36.834023, -101.870719, 1907.0028, 1081.43, -43.25
7583065, 5193940, 0.95, 139.63, 237.92, 0.85, 13.72, 26.70, 36.970575, -94.960879, 1907.0028, 240.50, 2.48
13821460, 1048462, 5.49, 133.90, 759.15, 0.60, 36.58, 8.62, 36.888538, -100.508622, 1978.5583, 761.73, -2.31
13860660, 5193727, 47.21, 106.16, 1020.99, 0.49, 95.40, 8.65, 36.832112, -101.708678, 1907.0028, 1023.42, -44.29
