"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'01047000'",35304,96,"10/1/1902","9/20/2017","'SCfit'",0.9725,0.6378,0.4502,32.6699,NA,NA,NA,NA,78.5884,0.349,"Y",749.7474,0.3954,0.5259,0.0814,0.1583
"'01052500'",27871,86,"7/19/1941","11/7/2017","'SCfit'",0.971,0.8178,0.42,25.9864,NA,NA,NA,NA,51.4102,0.4376,"Y",356.6221,0.3664,0.6568,0.0861,0.3162
"'01054300'",13361,38,"2/15/1963","10/4/2017","'SCfit'",0.9751,0.6317,0.4477,31.0341,NA,NA,NA,NA,39.5041,0.496,"Y",269.3438,0.3947,0.5284,0.0941,0.1784
"'01055000'",32253,87,"6/16/1929","10/4/2017","'SCfit'",0.9848,0.6052,0.2515,24.2989,NA,NA,NA,NA,46.4755,0.487,"Y",208.9121,0.2083,0.4298,0.0565,0.1945
"'01057000'",35312,116,"10/1/1913","11/5/2017","'SCfit'",0.9815,0.7028,0.3016,41.4841,NA,NA,NA,NA,83.1149,0.6116,"Y",140.5459,0.2591,0.5348,0.0646,0.2152
"'01064300'",14905,143,"12/10/1963","9/29/2004","'SCfit'",0.9684,0.2852,0.5824,30.0847,NA,NA,NA,NA,165.8247,0.3544,"Y",34.1722,0.5234,0.2834,0.0886,0.0053
"'01064801'",9017,63,"4/1/1993","12/7/2017","'SCfit'",0.9634,0.2469,0.4758,27.487,NA,NA,NA,NA,32.5741,0.5717,"Y",164.904,0.4239,0.2412,0.1187,0.0284
"'01073000'",30259,153,"12/15/1934","10/18/2017","'SCfit'",0.9755,0.4628,0.3838,85.8888,NA,NA,NA,NA,549.6965,0.895,"Y",20.0933,0.3409,0.3996,0.079,0.1048
"'01074520'",8618,96,"3/10/1993","10/12/2016","'SCfit'",0.9801,0.9229,0.4881,20.8093,NA,NA,NA,NA,51.4161,0.4496,"Y",345.3981,0.4355,0.7743,0.0779,0.4324
"'01075800'",12920,120,"5/17/1963","9/29/1998","'SCfit'",0.9668,0.1752,0.265,25.16,NA,NA,NA,NA,69.6813,0.622,"Y",4.8514,0.2313,0.1604,0.0774,0.0474
"'01085800'",15472,150,"5/22/1962","9/29/2004","'SCfit'",0.9747,0.4355,0.3171,27.6295,NA,NA,NA,NA,105.1839,0.4531,"Y",11.7842,0.2753,0.3586,0.0797,0.1236
