,site,climscenario,pumpscenario,year,totalannualflow,lowest7dayperyear,lowest7dayperyearDOY,daysbelow0.1year,zeroflowcounts,totalbelow0.1year,totallowflowperiods,meanlowflowperiods,maxlowflowperiods,slope7,slope14,slope30,recess7,recess14,recess30,col
303999,1426500,Avg,Constant,50,6011.575,8.695,342,46,0,34.7856,5,9.2,14,-0.2904881,-0.1127607,-0.0009701613,-0.02987134,-0.0115309,-0.0001716627,Q_cms_dplt19
304000,1426500,Avg,Constant,1,6312.338,9.473,342,37,0,22.0363,4,9.25,10,-0.2909048,-0.1131464,-0.001352419,-0.02768866,-0.01071282,-0.0001902867,Q_cms_dplt20
304049,1426500,Avg,Constant,50,6065.067,8.841,342,62,0,53.7208,4,15.5,21,-0.2904881,-0.1127607,-0.0009701613,-0.02942828,-0.01136087,-0.0001680357,Q_cms_dplt20
304050,1426500,Avg,Constant,1,6321.095,9.543,342,37,0,21.7651,4,9.25,11,-0.2904881,-0.1127607,-0.0009701613,-0.02746968,-0.01060884,-0.0001524017,Q_cms_dplt21
304099,1426500,Avg,Constant,50,6277.842,9.423,342,39,0,26.3267,4,9.75,12,-0.2904881,-0.1127607,-0.0009701613,-0.02778575,-0.01073024,-0.0001548807,Q_cms_dplt21
304100,1426500,Avg,Constant,1,6321.095,9.543,342,37,0,21.7651,4,9.25,11,-0.2904881,-0.1127607,-0.0009701613,-0.02746968,-0.01060884,-0.0001524017,Q_cms_dplt22
304149,1426500,Avg,Constant,50,6135.048,9.032,342,53,0,44.3329,5,10.6,14,-0.2904881,-0.1127607,-0.0009701613,-0.02886818,-0.01114587,-0.0001634984,Q_cms_dplt22
304150,1426500,Avg,Constant,1,6314.877,9.49,342,37,0,22.0221,4,9.25,11,-0.2908452,-0.1131,-0.001297581,-0.02763861,-0.01069148,-0.0001846416,Q_cms_dplt23
304199,1426500,Avg,Constant,50,6069.413,8.853,342,62,0,53.4976,4,15.5,21,-0.2904881,-0.1127607,-0.0009701613,-0.02939245,-0.01134712,-0.0001677439,Q_cms_dplt23
304200,1426500,Avg,Constant,1,6321.095,9.543,342,37,0,21.7651,4,9.25,11,-0.2904881,-0.1127607,-0.0009701613,-0.02746968,-0.01060884,-0.0001524017,Q_cms_dplt24
304249,1426500,Avg,Constant,50,6137.314,9.038,342,52,0,44.0156,5,10.4,14,-0.2904881,-0.1127607,-0.0009701613,-0.02885093,-0.01113925,-0.0001633596,Q_cms_dplt24
304250,1426500,Avg,Constant,1,6321.014,9.542,342,37,0,21.7693,4,9.25,11,-0.2904881,-0.1127607,-0.0009701613,-0.02747229,-0.01060984,-0.0001524221,Q_cms_dplt25
304299,1426500,Avg,Constant,50,6112.435,8.97,342,55,0,47.6715,5,11.0,14,-0.2904881,-0.1127607,-0.0009701613,-0.02904763,-0.01121476,-0.0001649464,Q_cms_dplt25
304300,1426500,Avg,Constant,1,6291.717,9.361,342,37,0,24.2273,4,9.25,10,-0.2910119,-0.1133393,-0.001565726,-0.02799723,-0.01084504,-0.0002135053,Q_cms_dplt26
