,site,climscenario,pumpscenario,year,season,totalseasonalflow,lowest7dayperseason,lowest7dayperseasonDOY,daysbelow0.1seasonal,zeroflowcountsseasonal,totalbelow0.1seasonal,col
5779798,2334430,Wet,Constant,50,summer,8798.764,82.478,202,0,0,0.0,Q_cms_dplt12
5779799,2334430,Wet,Constant,50,winter,13251.29,107.438,10,0,0,0.0,Q_cms_dplt12
5779800,2334430,Wet,Constant,1,fall,8241.35,63.905,333,34,0,164.2716,Q_cms_dplt13
5779801,2334430,Wet,Constant,1,spring,10862.85,80.691,166,3,0,0.8147,Q_cms_dplt13
5779802,2334430,Wet,Constant,1,summer,8800.114,82.499,202,0,0,0.0,Q_cms_dplt13
5779803,2334430,Wet,Constant,1,winter,13270.55,107.846,10,0,0,0.0,Q_cms_dplt13
5779996,2334430,Wet,Constant,50,fall,8234.028,63.828,333,34,0,167.0176,Q_cms_dplt13
5779997,2334430,Wet,Constant,50,spring,10851.04,80.576,166,3,0,1.1607,Q_cms_dplt13
5779998,2334430,Wet,Constant,50,summer,8791.217,82.396,202,0,0,0.0,Q_cms_dplt13
5779999,2334430,Wet,Constant,50,winter,13243.82,107.355,10,0,0,0.0,Q_cms_dplt13
5780000,2334430,Wet,Constant,1,fall,8282.558,64.344,333,34,0,167.335,Q_cms_dplt14
5780001,2334430,Wet,Constant,1,spring,10923.21,81.293,166,3,0,0.6305,Q_cms_dplt14
5780002,2334430,Wet,Constant,1,summer,8848.425,83.05,202,0,0,0.0,Q_cms_dplt14
5780003,2334430,Wet,Constant,1,winter,13358.06,109.021,10,0,0,0.0,Q_cms_dplt14
5780196,2334430,Wet,Constant,50,fall,8239.655,63.889,333,36,0,184.132,Q_cms_dplt14
5780197,2334430,Wet,Constant,50,spring,10856.68,80.638,166,3,0,2.6055,Q_cms_dplt14
5780198,2334430,Wet,Constant,50,summer,8796.921,82.458,202,0,0,0.0,Q_cms_dplt14
5780199,2334430,Wet,Constant,50,winter,13249.4,107.417,10,0,0,0.0,Q_cms_dplt14
5780200,2334430,Wet,Constant,1,fall,8287.984,64.402,333,34,0,167.6424,Q_cms_dplt15
5780201,2334430,Wet,Constant,1,spring,10930.48,81.368,166,3,0,0.6113,Q_cms_dplt15
5780202,2334430,Wet,Constant,1,summer,8854.618,83.121,202,0,0,0.0,Q_cms_dplt15
5780203,2334430,Wet,Constant,1,winter,13364.64,109.041,10,0,0,0.0,Q_cms_dplt15
5780396,2334430,Wet,Constant,50,fall,8240.468,63.898,333,36,0,186.2866,Q_cms_dplt15
5780397,2334430,Wet,Constant,50,spring,10857.41,80.646,166,3,0,2.7873,Q_cms_dplt15
5780398,2334430,Wet,Constant,50,summer,8797.657,82.466,202,0,0,0.0,Q_cms_dplt15
5780399,2334430,Wet,Constant,50,winter,13250.2,107.426,10,0,0,0.0,Q_cms_dplt15
5780400,2334430,Wet,Constant,1,fall,8294.89,64.475,333,34,0,167.998,Q_cms_dplt16
5780401,2334430,Wet,Constant,1,spring,10939.43,81.461,166,3,0,0.5895,Q_cms_dplt16
5780402,2334430,Wet,Constant,1,summer,8862.44,83.209,202,0,0,0.0,Q_cms_dplt16
5780403,2334430,Wet,Constant,1,winter,13371.82,109.053,10,0,0,0.0,Q_cms_dplt16
5780596,2334430,Wet,Constant,50,fall,8241.48,63.909,333,37,0,189.0485,Q_cms_dplt16
5780597,2334430,Wet,Constant,50,spring,10858.48,80.657,166,3,0,3.0115,Q_cms_dplt16
5780598,2334430,Wet,Constant,50,summer,8798.669,82.477,202,0,0,0.0,Q_cms_dplt16
5780599,2334430,Wet,Constant,50,winter,13251.2,107.437,10,0,0,0.0,Q_cms_dplt16
5780600,2334430,Wet,Constant,1,fall,8290.505,64.429,333,34,0,167.7932,Q_cms_dplt17
5780601,2334430,Wet,Constant,1,spring,10933.81,81.402,166,3,0,0.6039,Q_cms_dplt17
5780602,2334430,Wet,Constant,1,summer,8857.492,83.153,202,0,0,0.0,Q_cms_dplt17
5780603,2334430,Wet,Constant,1,winter,13367.42,109.047,10,0,0,0.0,Q_cms_dplt17
5780796,2334430,Wet,Constant,50,fall,8240.836,63.902,333,37,0,187.3021,Q_cms_dplt17
5780797,2334430,Wet,Constant,50,spring,10857.79,80.65,166,3,0,2.8719,Q_cms_dplt17
5780798,2334430,Wet,Constant,50,summer,8798.025,82.47,202,0,0,0.0,Q_cms_dplt17
5780799,2334430,Wet,Constant,50,winter,13250.57,107.43,10,0,0,0.0,Q_cms_dplt17
5780800,2334430,Wet,Constant,1,fall,8305.591,64.59,333,35,0,168.3995,Q_cms_dplt18
5780801,2334430,Wet,Constant,1,spring,10952.47,81.601,166,2,0,0.561,Q_cms_dplt18
5780802,2334430,Wet,Constant,1,summer,8874.336,83.342,202,0,0,0.0,Q_cms_dplt18
5780803,2334430,Wet,Constant,1,winter,13380.54,109.059,10,0,0,0.0,Q_cms_dplt18
5780996,2334430,Wet,Constant,50,fall,8243.136,63.927,333,37,0,193.1555,Q_cms_dplt18
5780997,2334430,Wet,Constant,50,spring,10860.14,80.676,166,3,0,3.3435,Q_cms_dplt18
5780998,2334430,Wet,Constant,50,summer,8800.326,82.495,202,0,0,0.0,Q_cms_dplt18
5780999,2334430,Wet,Constant,50,winter,13252.82,107.455,10,0,0,0.0,Q_cms_dplt18
5781000,2334430,Wet,Constant,1,fall,8235.623,63.845,333,34,0,163.8064,Q_cms_dplt19
5781001,2334430,Wet,Constant,1,spring,10854.07,80.604,166,3,0,0.8443,Q_cms_dplt19
5781002,2334430,Wet,Constant,1,summer,8793.316,82.421,202,0,0,0.0,Q_cms_dplt19
5781003,2334430,Wet,Constant,1,winter,13251.83,107.507,10,0,0,0.0,Q_cms_dplt19
5781196,2334430,Wet,Constant,50,fall,8233.292,63.82,333,34,0,164.6784,Q_cms_dplt19
5781197,2334430,Wet,Constant,50,spring,10850.31,80.568,166,3,0,0.9543,Q_cms_dplt19
