GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
07144780,1,539.07,0.28,492.5654602050781,9,9,0.946
07144780,2,589.12,0.28,573.2889404296875,9,9,0.946
07144780,3,260.49,0.28,425.5011291503906,6,6,0.972
07144780,4,154.22,0.28,245.98062133789065,6,6,0.978
07144780,5,351.14,0.15,670.56829833984375,6,6,0.978
07144780,6,481.16,0.28,600.88446044921875,8,8,0.957
07144780,7,389.28,0.28,212.6709747314453,10,10,0.941
07144780,8,774.27,0.28,293.5187072753906,14,14,0.9
07144780,9,569.22,0.28,463.4775695800781,10,10,0.942
07144780,10,771.92,0.28,222.7404937744141,15,15,0.886
07144780,11,339.98,0.28,549.77777099609375,7,7,0.968
07144780,12,697.34,0.28,455.3409729003906,11,11,0.928
07144780,13,25.44,0.28,478.78961181640625,3,3,0.997
07144780,14,572.57,0.28,566.42059326171875,9,9,0.947
07144780,15,131.24,0.12,493.07183837890625,4,4,0.991
07144780,16,724.26,0.28,522.21075439453125,11,11,0.93
07144780,17,603.63,0.28,504.499267578125,10,10,0.941
07144780,18,961.28,0.28,399.90618896484375,14,14,0.894
07144780,19,26.84,0.28,656.70953369140625,3,3,0.998
07144780,20,431.7,0.28,551.85223388671875,8,8,0.959
07144780,21,737.4,0.28,670.841552734375,10,10,0.937
07144780,22,786.53,0.15,453.2776489257813,10,10,0.94
07144780,23,189.41,0.28,583.2236328125,5,5,0.983
07144780,24,646.51,0.28,382.7187194824219,11,11,0.927
07144780,25,624.04,0.28,579.29437255859375,10,10,0.943
07144780,26,180.73,0.28,670.6741943359375,5,5,0.985
07144780,27,162.53,0.28,581.35760498046875,5,5,0.985
07144780,28,9.64,0.19,251.2261962890625,2,2,0.999
07144780,29,132.13,0.28,320.3075256347656,5,5,0.984
07144780,30,55.15,0.28,573.5023193359375,3,3,0.995
07144780,31,935.02,0.28,602.29840087890625,12,12,0.916
07144780,32,563.49,0.28,108.25983428955078,15,15,0.881
07144780,33,227.62,0.28,436.2403564453125,6,6,0.976
07144780,34,47.31,0.28,469.4273376464844,3,3,0.995
07144780,35,95.14,0.28,221.4805450439453,5,5,0.986
07144780,36,53.37,0.28,546.610595703125,3,3,0.995
07144780,37,39.16,0.28,510.49749755859375,3,3,0.996
07144780,38,84.14,0.28,570.9002685546875,4,4,0.992
07144780,39,122.56,0.28,362.01470947265625,5,5,0.986
07144780,40,697.47,0.28,590.9068603515625,10,10,0.937
07144780,41,891.85,0.15,565.458251953125,10,10,0.939
07144780,42,724.59,0.28,620.31854248046875,10,10,0.936
07144780,43,182.49,0.28,233.15676879882812,6,6,0.974
07144780,44,76.42,0.28,538.9552001953125,4,4,0.993
07144780,45,149.66,0.28,601.0693359375,4,5,0.987
07144780,46,104.03,0.19,422.7101440429687,4,4,0.991
07144780,47,264.12,0.28,301.7153625488281,7,7,0.966
07144780,48,37.91,0.15,575.2095947265625,3,3,0.997
07144780,49,470.39,0.28,430.9012756347656,9,9,0.95
07144780,50,1007.24,0.28,586.24957275390625,13,13,0.908
07144780,51,54.69,0.28,481.78411865234375,3,3,0.994
07144780,52,200.71,0.28,602.88970947265625,5,5,0.982
07144780,53,159.1,0.12,543.1297607421875,4,4,0.99
07144780,54,645.12,0.28,499.9140930175781,10,10,0.936
07144780,55,393.64,0.28,293.0692138671875,9,9,0.949
