STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,geometry
01011000,"Allagash River near Allagash, Maine",Non-ref,NorthEast,3186.844,01,47.069611,-69.079544,ME,,yes,78.0,60.0,20.0,POINT (2027371.848948438 2964479.788845291)
01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",Non-ref,NorthEast,226.2537,01,46.105,-67.881389,ME,,yes,6.0,6.0,6.0,POINT (2146179.073358337 2888357.527931728)
01018000,"Meduxnekeag River near Houlton, Maine",Non-ref,NorthEast,450.4734,01,46.104917,-67.866631,ME,,yes,47.0,39.0,6.0,POINT (2147275.127955072 2888682.064540667)
01021200,"DENNYS RIVER AT DENNYSVILLE, ME",Non-ref,NorthEast,242.8407,01,44.901489,-67.247619,ME,,yes,51.0,51.0,17.0,POINT (2232937.405468248 2775146.415797242)
01022500,"Narraguagus River at Cherryfield, Maine",Ref,NorthEast,573.6006,01,44.607972,-67.935242,ME,yes,yes,61.0,60.0,20.0,POINT (2190628.769556388 2727911.570848682)
01031500,"Piscataquis River near Dover-Foxcroft, Maine",Ref,NorthEast,769.0482,01,45.175008,-69.314697,ME,yes,yes,107.0,60.0,20.0,POINT (2068384.602541766 2757515.535109285)
01038000,"Sheepscot River at North Whitefield, Maine",Non-ref,NorthEast,375.0849,01,44.222778,-69.593758,ME,,yes,71.0,60.0,20.0,POINT (2076402.328701738 2649506.128523612)
01049265,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE",Non-ref,NorthEast,14014.81,01,44.472339,-69.683989,ME,,yes,24.0,24.0,13.0,POINT (2061886.700977431 2674289.213697971)
01054200,"Wild River at Gilead, Maine",Ref,NorthEast,180.981,01,44.390444,-70.979644,ME,yes,yes,45.0,45.0,20.0,POINT (1965165.01155998 2638042.944678873)
01095220,"STILLWATER RIVER NEAR STERLING, MA",Non-ref,NorthEast,78.68936,01,42.410925,-71.791183,MA,,yes,15.0,15.0,15.0,POINT (1958517.998781876 2407682.780142465)
