location;GWT [°C];LST [°C];Lon;Lat;ET [g/m²/s];snowdays;DT [K]
Algeria;21.25;20.59;2.11;36.27;0.0163;0.004;0.66
Algeria;20.6;20.63;2.22;36.23;0.0156;0.003;-0.03
Algeria;20.45;20.76;2.19;36.25;0.0163;0.004;-0.31
Algeria;21.9;20.92;2.06;36.23;0.0156;0.002;0.98
Algeria;18.9;21.04;2.25;36.19;0.0154;0.003;-2.14
Algeria;19.3;21.04;2.24;36.19;0.0156;0.003;-1.74
Algeria;21.75;21.15;2.24;36.18;0.0156;0;0.6
Algeria;21.95;21.15;2.28;36.19;0.0154;0.002;0.8
Algeria;20.8;21.19;2.29;36.24;0.0154;0.003;-0.39
Algeria;21.15;21.22;2.21;36.2;0.0156;0.002;-0.07
Algeria;19.25;21.24;2.27;36.25;0.0156;0.002;-1.99
Algeria;20;21.32;2.04;36.25;0.0163;0.004;-1.32
Algeria;20.15;21.27;2.45;36.21;0.0154;0.002;-1.12
Algeria;20.4;21.32;2.21;36.19;0.0156;0.005;-0.92
Algeria;20.45;21.38;2.17;36.2;0.0156;0.003;-0.93
Algeria;20.35;21.73;2.04;36.23;0.0156;0.005;-1.38
Algeria;18.95;21.74;2.11;36.29;0.0163;0.003;-2.79
Algeria;23.05;21.88;2.06;36.23;0.0156;0.004;1.17
Algeria;18.75;22.21;2.05;36.2;0.0156;0.006;-3.46
Australia, Tasmania;14.86;11.32;145.05;-40.87;0.0177;0.055;3.54
Australia, Tasmania;13.63;11.87;145.06;-40.84;0.0177;0.051;1.75
Australia, Tasmania;14.11;12.2;147.26;-41.63;0.0203;0.016;1.91
Australia, Tasmania;13.92;12.42;147.36;-42.1;0.0179;0.014;1.5
Australia, Tasmania;14.59;12.46;147.11;-41.58;0.0191;0.023;2.13
Australia, Tasmania;14.48;12.5;147.24;-41.65;0.0191;0;1.98
Australia, Tasmania;14.3;12.53;147.36;-42.09;0.0179;0.021;1.77
Australia, Tasmania;13.74;12.53;147.36;-42.09;0.0179;0.021;1.21
Australia, Tasmania;14.22;12.57;147.22;-41.7;0.0191;0.019;1.65
Australia, Tasmania;13.82;12.64;147.19;-42.5;0.0149;0.016;1.19
Australia, Tasmania;13.89;12.64;147.37;-42.11;0.0179;0.01;1.26
Australia, Tasmania;14.46;12.64;147.37;-42.11;0.0179;0.01;1.83
Australia, Tasmania;14.36;12.64;147.37;-42.11;0.0179;0.01;1.72
Australia, Tasmania;14.71;12.63;147.04;-41.66;0.0191;0.015;2.08
Australia, Tasmania;13.51;12.73;147.18;-42.5;0.0149;0.016;0.77
Australia, Tasmania;12.8;12.73;147.17;-42.5;0.0149;0.016;0.07
Australia, Tasmania;14.37;12.7;147.09;-41.58;0.0191;0.016;1.66
Australia, Tasmania;13.3;12.77;147.2;-42.5;0.0149;0.01;0.54
Australia, Tasmania;13.67;12.86;147.33;-41.86;0.0184;0.016;0.82
Australia, Tasmania;14.23;12.86;147.33;-41.86;0.0184;0.016;1.37
Australia, Tasmania;14.01;12.94;147.11;-41.62;0.0191;0.014;1.07
