KGE,NSE,sitenum,summer_params,winter_params,spring_params,fall_params
0.8524579629029149,0.6866780386913679,02423130,[ 3.22092913e-01 -2.07834557e-03  1.49955072e+01],[4.02952203e-01 2.33549871e-03 7.34604098e+00],[ 5.37087512e-01 -1.75462938e-03  8.37014665e+00],[ 4.47039776e-01 -2.74436520e-04  8.85338276e+00]
0.8930127850224937,0.8465185739898261,02423496,[ 5.55840071e-01 -6.72989508e-04  1.23680241e+01],[4.22876709e-01 5.12697603e-04 6.40363204e+00],[ 6.40426233e-01 -6.59860790e-04  8.55907336e+00],[5.45173545e-01 3.46882644e-04 7.20003883e+00]
0.8805074117617986,0.8235991587117717,02455980,[4.16575712e-01 9.90800529e-04 1.18883077e+01],[3.91112250e-01 4.15131858e-04 8.94339244e+00],[ 4.36371885e-01 -7.27943680e-04  1.05125618e+01],[4.60868237e-01 4.83646475e-03 8.35313500e+00]
0.8779180102354796,0.8378599409055256,02457595,[ 5.72284369e-01 -4.79939909e-04  1.07278657e+01],[4.55650669e-01 4.39676849e-04 7.55633479e+00],[ 6.42480651e-01 -8.73972162e-04  7.87583922e+00],[5.46227491e-01 1.32598224e-03 7.04125702e+00]
0.8247304985633269,0.8328043030425905,02458450,[ 5.43413774e-01 -7.46298847e-04  1.18705755e+01],[4.72450655e-01 2.62144176e-05 8.14778079e+00],[ 6.36852642e-01 -1.57418616e-03  8.83446889e+00],[5.63748546e-01 5.73702000e-04 8.11140299e+00]
0.8713819918211202,0.861683743518933,10261500,[ 0.36291212  0.12220663 12.37007038],[ 4.00972795e-01 -1.63871256e-03  7.03258031e+00],[ 0.37157025 -0.01352647 11.24552543],[ 4.70724853e-01 -2.16968626e-04  6.93352705e+00]
0.9270569246820354,0.8897055989250561,10343500,[ 0.3638445  -0.02680475  5.9585578 ],[0.13331731 0.00929975 1.80299726],[ 0.48008887 -0.03493227  3.84743278],[ 0.28225535 -0.01748542  2.72433751]
0.8674933388556149,0.7232206519916347,11044000,[-5.20752781e-02 -8.46942012e-03  2.64556581e+01],[ 2.08914337e-01 -1.03833297e-03  1.07913583e+01],[ 0.33781973 -0.02283496 13.95330653],[ 4.78392379e-01 -4.56383705e-04  9.60335435e+00]
0.8957655754877563,0.8198227834999099,11074000,[2.55102394e-01 3.49487243e-03 1.71635650e+01],[ 1.71049034e-01 -5.97783451e-04  1.23386357e+01],[ 3.23071729e-01 -9.74648168e-03  1.61660998e+01],[ 4.18665365e-01 -5.75983129e-04  9.73087717e+00]
0.8378080453739158,0.7623560941391008,11176900,[ 0.19029973 -0.02839677 19.21527802],[5.36487967e-01 1.05373303e-04 5.88933559e+00],[ 5.49365437e-01 -9.45497873e-03  1.11154532e+01],[6.45564650e-01 2.21459089e-03 4.43252620e+00]
0.9008057825258594,0.8346888304757993,11203580,[ 0.33090952 -0.0404246   9.72647484],[0.28060525 0.00938317 3.28708014],[ 0.52197855 -0.02427888  4.27227722],[ 4.66347182e-01 -1.15661753e-03  3.92222155e+00]
0.9167465893493424,0.8607420361514084,11204100,[ 0.46792614 -0.04463742 10.89710153],[3.98526555e-01 3.50776840e-03 4.39155993e+00],[ 0.55467521 -0.02564787  6.9050955 ],[5.66349911e-01 5.71348424e-04 4.08580356e+00]
0.5030244057147,0.29223740452414226,11251000,[5.81174014e-03 1.35714470e-04 1.31435576e+01],[ 9.80396383e-02 -3.67347079e-04  9.15544758e+00],[ 1.43412718e-01 -2.76790211e-04  8.73863155e+00],[7.76793948e-02 3.05114410e-04 1.15422286e+01]
0.8313619690396976,0.7854618475585444,11261500,[4.29386017e-01 5.80421393e-05 1.44782605e+01],[ 7.01586652e-01 -8.38532182e-05  4.95783756e+00],[ 5.48954762e-01 -2.64690176e-04  1.08651972e+01],[7.21196388e-01 4.61900920e-04 4.38026900e+00]
0.3650215005729588,-0.5635564988874882,11274538,[ 0.32377551  0.20666296 12.39414055],[5.62755743e-01 7.25761394e-04 4.94363187e+00],[ 4.77298606e-01 -1.90633260e-03  9.44102379e+00],[0.53966719 0.01136772 5.22800105]
