KGE,NSE,sitenum,summer_params,winter_params,spring_params,fall_params,NSE_pyr,KGE_pyr
0.8524579629029149,0.6866780386913679,2423130,"[0.322092913, -0.00207834557, 14.9955072]","[0.402952203, 0.00233549871, 7.34604098]","[0.537087512, -0.00175462938, 8.37014665]","[0.447039776, -0.00027443652, 8.85338276]","[0.9598371221567534, 0.9517205988290847, 0.8375966815862685]","[0.9686891956590189, 0.9333334984935902, 0.8269470797979251]"
0.8930127850224937,0.8465185739898261,2423496,"[0.555840071, -0.000672989508, 12.3680241]","[0.422876709, 0.000512697603, 6.40363204]","[0.640426233, -0.00065986079, 8.55907336]","[0.545173545, 0.000346882644, 7.20003883]","[0.9575577859742042, 0.9563875071474018, 0.8996605693249026]","[0.9664321925513549, 0.9641772076600355, 0.869588909053989]"
0.8805074117617986,0.8235991587117717,2455980,"[0.416575712, 0.000990800529, 11.8883077]","[0.39111225, 0.000415131858, 8.94339244]","[0.436371885, -0.00072794368, 10.5125618]","[0.460868237, 0.00483646475, 8.353135]","[0.9680138410477224, 0.9705195607803727, 0.9237875585568309]","[0.9466463448902017, 0.9549530193656446, 0.9066601533756213]"
0.8779180102354796,0.8378599409055256,2457595,"[0.572284369, -0.000479939909, 10.7278657]","[0.455650669, 0.000439676849, 7.55633479]","[0.642480651, -0.000873972162, 7.87583922]","[0.546227491, 0.00132598224, 7.04125702]","[0.9643946222692928, 0.9668631131214126, 0.9250704233903062]","[0.951104466606702, 0.965883173625106, 0.9178077268985795]"
0.8247304985633269,0.8328043030425905,2458450,"[0.543413774, -0.000746298847, 11.8705755]","[0.472450655, 2.62144176e-05, 8.14778079]","[0.636852642, -0.00157418616, 8.83446889]","[0.563748546, 0.000573702, 8.11140299]","[0.9704899717542121, 0.9686474407750861, 0.923184181907006]","[0.9849157095818901, 0.9719499192266821, 0.9382455195156298]"
0.8713819918211202,0.861683743518933,10261500,"[0.36291212, 0.12220663, 12.37007038]","[0.400972795, -0.00163871256, 7.03258031]","[0.37157025, -0.01352647, 11.24552543]","[0.470724853, -0.000216968626, 6.93352705]","[0.9507944122161498, 0.9485700942944674, 0.9302469815501498]","[0.9517044270957881, 0.9326496435534546, 0.9146184329363642]"
0.9270569246820354,0.8897055989250561,10343500,"[0.3638445, -0.02680475, 5.9585578]","[0.13331731, 0.00929975, 1.80299726]","[0.48008887, -0.03493227, 3.84743278]","[0.28225535, -0.01748542, 2.72433751]","[0.9236543497423529, 0.9153153942963372, 0.8826266654974187]","[0.8901093592856358, 0.9017502056946389, 0.8871974496506715]"
0.8674933388556149,0.7232206519916347,11044000,"[-0.0520752781, -0.00846942012, 26.4556581]","[0.208914337, -0.00103833297, 10.7913583]","[0.33781973, -0.02283496, 13.95330653]","[0.478392379, -0.000456383705, 9.60335435]","[0.8692312749314348, 0.9108499366420026, 0.7715779451765755]","[0.9010301472808327, 0.8825056698954268, 0.7469356940010576]"
0.8957655754877563,0.8198227834999099,11074000,"[0.255102394, 0.00349487243, 17.163565]","[0.171049034, -0.000597783451, 12.3386357]","[0.323071729, -0.00974648168, 16.1660998]","[0.418665365, -0.000575983129, 9.73087717]","[0.8379507692361705, 0.901715622968791, 0.853370772745705]","[0.8456203004084273, 0.862735668742465, 0.9306352211443419]"
0.8378080453739158,0.7623560941391008,11176900,"[0.19029973, -0.02839677, 19.21527802]","[0.536487967, 0.000105373303, 5.88933559]","[0.549365437, -0.00945497873, 11.1154532]","[0.64556465, 0.00221459089, 4.4325262]","[0.9206757562606641, 0.9262081098361385, 0.9157452566782704]","[0.9539871139052691, 0.9564466889416393, 0.9160198084740909]"
0.9008057825258594,0.8346888304757993,11203580,"[0.33090952, -0.0404246, 9.72647484]","[0.28060525, 0.00938317, 3.28708014]","[0.52197855, -0.02427888, 4.27227722]","[0.466347182, -0.00115661753, 3.92222155]","[0.9475227130651354, 0.9519062138280439, 0.9146368878583742]","[0.9372853004868277, 0.9427935573610564, 0.8812360807513555]"
0.9167465893493424,0.8607420361514084,11204100,"[0.46792614, -0.04463742, 10.89710153]","[0.398526555, 0.0035077684, 4.39155993]","[0.55467521, -0.02564787, 6.9050955]","[0.566349911, 0.000571348424, 4.08580356]","[0.938730406623692, 0.9565967623030097, 0.8880711005666215]","[0.9539761830594659, 0.9430226890227568, 0.8519696150779719]"
0.5030244057147,0.2922374045241422,11251000,"[0.00581174014, 0.00013571447, 13.1435576]","[0.0980396383, -0.000367347079, 9.15544758]","[0.143412718, -0.000276790211, 8.73863155]","[0.0776793948, 0.00030511441, 11.5422286]","[0.3724846934216053, 0.7429700394573, -2.4959454118066766]","[0.8053932820115705, 0.7433559649160565, 0.20211462420676607]"
0.8313619690396976,0.7854618475585444,11261500,"[0.429386017, 5.80421393e-05, 14.4782605]","[0.701586652, -8.38532182e-05, 4.95783756]","[0.548954762, -0.000264690176, 10.8651972]","[0.721196388, 0.00046190092, 4.380269]","[0.9637978038024604, 0.9669027340635619, 0.9311327702426548]","[0.9763169387278732, 0.9216976937918319, 0.858993236328046]"
0.3650215005729588,-0.5635564988874882,11274538,"[0.32377551, 0.20666296, 12.39414055]","[0.562755743, 0.000725761394, 4.94363187]","[0.477298606, -0.0019063326, 9.44102379]","[0.53966719, 0.01136772, 5.22800105]","[0.7238667364941085, 0.9480570550229506, 0.8543619241923053]","[0.6837457212378946, 0.9565928473881286, 0.7867740878560284]"
-2.920043346232627,-21.20552998958699,11276500,"[0.0739097533, 9.4341616e-05, 9.66512175]","[0.07367885, -0.02028921, 8.55320649]","[0.188105103, -0.000205386057, 6.82724542]","[0.0742951363, -0.0002210576, 9.72059945]","[0.592471194028549, 0.8399369365820748, 0.14810393776488617]","[0.8161539680297398, 0.8812191868556696, 0.509708013831554]"
0.8189206418656416,0.6910683971556292,11276600,"[0.274067026, -0.00110764564, 11.8912364]","[0.239988618, 0.00286415411, 5.7840676]","[0.355672948, -0.000993037205, 8.68118728]","[0.424997725, 0.00201607915, 5.32569317]","[0.7739733990858694, 0.8924783122941519, -0.010488532819274754]","[0.8534396135740958, 0.9129179249005426, 0.5472903996289842]"
0.614841544551084,0.1784002104806187,11289650,"[0.0118848102, -0.000309344531, 12.0799551]","[0.0484057027, -0.0001601161, 10.1600674]","[0.0636625501, -0.000180690911, 10.0372037]","[0.0946156219, 0.000107703169, 10.040957]","[0.35321963359619624, 0.8672024430435805, -1.767697368121683]","[0.8495891410969871, 0.89269783420912, 0.8016580330881412]"
0.8613045769274434,0.7239121704252083,11303000,"[0.231618521, -0.00390032593, 17.2304565]","[0.495475719, -0.00044450285, 5.96868152]","[0.352320704, -0.00263587657, 12.0729512]","[0.500553609, -0.00106173752, 6.28443711]","[0.5388045897918816, 0.9489412053968728, -0.8962497825590594]","[0.558459888786134, 0.931493373554307, 0.2928401443400812]"
0.9167112626015922,0.8629615422181909,11381500,"[0.375448807, -0.00797375196, 11.7340376]","[0.374742984, 0.00106396158, 3.64180413]","[0.486780045, -0.00570137646, 6.89164421]","[0.556789756, 0.000863347196, 2.74291535]","[0.9518604114073815, 0.9658918228714091, 0.8266635347958897]","[0.9482787555682857, 0.9572889859301452, 0.760534317783302]"
0.8980847751815211,0.8382067115790542,11383500,"[0.400926603, -0.00340461611, 11.6435222]","[0.345314597, 0.000887423707, 3.5646625]","[0.573993059, -0.00469842644, 6.24171108]","[0.575065193, 0.000762541396, 2.32361023]","[0.9431558130775376, 0.9571818893320074, 0.9216950466339202]","[0.9550483659084389, 0.9644789947211271, 0.8933240994315482]"
